시도명,구명,동명,면적_km2,구성비_percent,행정동_수,법정동_수
서울시,강서구,가양2동,1.0,0.17,1.0,0
서울시,강서구,가양3동,0.5,0.08,1.0,0
서울시,강서구,발산1동,2.94,0.49,1.0,1
서울시,강서구,공항동,10.87,1.8,1.0,4
서울시,강서구,방화1동,1.48,0.24,1.0,1
서울시,강서구,방화2동,6.41,1.06,1.0,1
서울시,강서구,방화3동,2.55,0.42,1.0,0
서울시,강서구,화곡1동,1.12,0.19,1.0,0
서울시,강서구,우장산동,1.36,0.22,1.0,1
서울시,구로구,소계,20.12,3.32,16.0,10
서울시,구로구,신도림동,1.47,0.24,1.0,1
서울시,구로구,구로1동,1.02,0.17,1.0,1
서울시,구로구,구로2동,1.76,0.29,1.0,0
서울시,구로구,구로3동,1.02,0.17,1.0,0
서울시,구로구,구로4동,0.46,0.08,1.0,0
서울시,구로구,구로5동,1.03,0.17,1.0,0
서울시,구로구,고척1동,1.16,0.19,1.0,1
서울시,구로구,고척2동,1.02,0.17,1.0,0
서울시,구로구,개봉2동,0.8,0.13,1.0,0
서울시,구로구,개봉3동,0.81,0.13,1.0,0
서울시,구로구,오류1동,0.59,0.1,1.0,1
서울시,구로구,오류2동,3.2,0.53,1.0,1
서울시,구로구,수궁동,2.67,0.44,1.0,2
서울시,구로구,가리봉동,0.4,0.07,1.0,1
서울시,구로구,개봉1동,1.31,0.22,1.0,1
서울시,구로구,항동,1.4,0.23,1.0,1
서울시,금천구,소계,13.02,2.15,10.0,3
서울시,금천구,가산동,2.52,0.42,1.0,1
서울시,금천구,독산1동,2.09,0.35,1.0,1
서울시,금천구,독산2동,0.6,0.1,1.0,0
서울시,금천구,독산3동,0.92,0.15,1.0,0
서울시,금천구,독산4동,0.59,0.1,1.0,0
서울시,금천구,시흥1동,1.71,0.28,1.0,1
서울시,금천구,시흥2동,1.26,0.21,1.0,0
서울시,금천구,시흥3동,1.07,0.18,1.0,0
서울시,금천구,시흥4동,0.87,0.14,1.0,0
서울시,금천구,시흥5동,1.39,0.23,1.0,0
서울시,영등포구,소계,24.55,4.06,18.0,34
서울시,영등포구,여의동,8.4,1.39,1.0,1
서울시,영등포구,당산1동,0.75,0.12,1.0,3
서울시,영등포구,당산2동,1.55,0.26,1.0,4
서울시,영등포구,양평1동,0.88,0.15,1.0,4
서울시,영등포구,양평2동,3.0,0.5,1.0,4
서울시,영등포구,신길1동,0.66,0.11,1.0,1
서울시,영등포구,신길3동,0.52,0.09,1.0,0
서울시,영등포구,신길4동,0.38,0.06,1.0,0
서울시,영등포구,신길5동,0.47,0.08,1.0,0
서울시,영등포구,신길6동,0.65,0.11,1.0,0
서울시,영등포구,신길7동,0.64,0.11,1.0,0
서울시,영등포구,대림1동,0.49,0.08,1.0,1
서울시,영등포구,대림2동,0.55,0.09,1.0,0
서울시,영등포구,대림3동,0.95,0.16,1.0,0
서울시,영등포구,영등포본동,1.02,0.17,1.0,1
서울시,영등포구,영등포동,1.26,0.21,1.0,8
서울시,영등포구,도림동,0.89,0.15,1.0,1
서울시,영등포구,문래동,1.49,0.25,1.0,6
서울시,동작구,소계,16.36,2.7,15.0,9
서울시,동작구,노량진2동,0.64,0.11,1.0,0
서울시,동작구,상도1동,1.51,0.25,1.0,2
서울시,동작구,상도2동,0.98,0.16,1.0,0
서울시,동작구,상도3동,0.6,0.1,1.0,0
서울시,동작구,상도4동,0.75,0.12,1.0,0
서울시,동작구,사당1동,0.79,0.13,1.0,0
서울시,동작구,사당3동,0.92,0.15,1.0,0
서울시,동작구,사당4동,0.38,0.06,1.0,0
